iter	Passed	Remaining
0	144	144287
1	160	80002
2	177	58879
3	192	47991
4	206	41187
5	220	36541
6	234	33332
7	244	30344
8	255	28113
9	268	26559
10	278	25020
11	296	24385
12	315	23972
13	332	23390
14	350	23032
15	364	22426
16	377	21803
17	391	21354
18	405	20962
19	423	20736
20	434	20276
21	449	19968
22	459	19521
23	474	19291
24	488	19064
25	502	18838
26	515	18566
27	525	18229
28	535	17916
29	546	17663
30	555	17373
31	565	17117
32	575	16878
33	586	16672
34	597	16467
35	607	16262
36	617	16082
37	627	15892
38	640	15781
39	652	15666
40	665	15576
41	675	15409
42	686	15282
43	698	15168
44	707	15013
45	717	14874
46	728	14773
47	737	14622
48	748	14529
49	760	14458
50	770	14333
51	782	14260
52	792	14154
53	801	14040
54	813	13970
55	822	13860
56	833	13786
57	843	13692
58	854	13623
59	865	13561
60	877	13500
61	889	13457
62	901	13405
63	911	13325
64	921	13253
65	931	13179
66	941	13115
67	952	13055
68	965	13027
69	976	12979
70	988	12927
71	999	12878
72	1008	12811
73	1021	12786
74	1032	12732
75	1044	12703
76	1056	12667
77	1065	12600
78	1075	12539
79	1084	12474
80	1095	12425
81	1105	12371
82	1115	12321
83	1127	12293
84	1159	12478
85	1189	12642
86	1207	12669
87	1222	12669
88	1235	12642
89	1246	12607
90	1259	12578
91	1270	12535
92	1284	12525
93	1294	12479
94	1307	12459
95	1320	12436
96	1332	12406
97	1343	12366
98	1356	12342
99	1366	12297
100	1379	12281
101	1391	12254
102	1404	12229
103	1415	12192
104	1427	12169
105	1441	12159
106	1453	12130
107	1464	12097
108	1475	12064
109	1487	12037
110	1499	12011
111	1510	11976
112	1521	11946
113	1532	11909
114	1543	11880
115	1555	11851
116	1565	11816
117	1577	11792
118	1588	11760
119	1602	11753
120	1614	11726
121	1624	11688
122	1633	11649
123	1645	11623
124	1654	11584
125	1667	11563
126	1678	11537
127	1689	11512
128	1702	11491
129	1713	11466
130	1726	11450
131	1737	11426
132	1750	11408
133	1762	11387
134	1772	11355
135	1784	11339
136	1796	11317
137	1808	11295
138	1819	11272
139	1831	11250
140	1842	11225
141	1854	11206
142	1867	11191
143	1878	11167
144	1890	11146
145	1903	11131
146	1917	11126
147	1929	11107
148	1940	11081
149	1956	11088
150	1968	11067
151	1983	11068
152	1996	11054
153	2009	11038
154	2022	11024
155	2035	11013
156	2048	10996
157	2059	10974
158	2072	10963
159	2084	10944
160	2094	10914
161	2107	10899
162	2116	10869
163	2127	10843
164	2137	10819
165	2147	10790
166	2159	10770
167	2171	10755
168	2181	10729
169	2191	10698
170	2202	10678
171	2217	10673
172	2229	10658
173	2238	10627
174	2253	10621
175	2265	10608
176	2277	10588
177	2287	10562
178	2299	10548
179	2312	10535
180	2323	10511
181	2333	10490
182	2344	10468
183	2357	10457
184	2369	10438
185	2380	10419
186	2390	10393
187	2402	10377
188	2414	10360
189	2425	10340
190	2434	10313
191	2446	10293
192	2458	10277
193	2468	10254
194	2480	10238
195	2489	10213
196	2500	10190
197	2511	10173
198	2522	10154
199	2533	10133
200	2544	10113
201	2553	10087
202	2562	10061
203	2572	10039
204	2581	10012
205	2591	9986
206	2600	9961
207	2609	9934
208	2618	9911
209	2629	9891
210	2642	9879
211	2652	9857
212	2663	9842
213	2673	9819
214	2686	9809
215	2699	9797
216	2713	9790
217	2726	9781
218	2740	9771
219	2749	9747
220	2761	9733
221	2775	9725
222	2787	9712
223	2801	9706
224	2816	9700
225	2829	9689
226	2841	9674
227	2851	9655
228	2861	9634
229	2871	9613
230	2881	9593
231	2892	9576
232	2903	9557
233	2914	9539
234	2924	9519
235	2934	9501
236	2945	9481
237	2955	9461
238	2965	9442
239	2974	9418
240	2983	9396
241	2993	9377
242	3005	9361
243	3017	9347
